Model,TN,FP,FN,TP,p,AUC,Precision,Recall,F1,LinearTrans,Algorithm,Actual N,Actual P,Precision,Recall,F1,AUC
EEC_Hard_Tomek_0_v1_Linear_Transform,143469,7302,21069,5552,0.526154123,0.732863675,0.431927801,0.208557154,0.281303172,1,EEC_,143469 & 7302,21069 & 5552,0.432 & Precision \cr,0.209 & Recall \cr,0.281 & F1 \cr,0.733 & AUC \cr
EEC_Hard_Tomek_1_v2_Linear_Transform,143782,6989,21369,5252,0.530080222,0.7306824,0.429049911,0.197287855,0.270301112,1,EEC_,143782 & 6989,21369 & 5252,0.429 & Precision \cr,0.197 & Recall \cr,0.27 & F1 \cr,0.731 & AUC \cr
EEC_Hard_Tomek_0_v2_Linear_Transform,143767,7004,21367,5254,0.529093485,0.730159986,0.428618042,0.197362984,0.270285805,1,EEC_,143767 & 7004,21367 & 5254,0.429 & Precision \cr,0.197 & Recall \cr,0.27 & F1 \cr,0.73 & AUC \cr
EEC_Hard_Tomek_2_v2_Linear_Transform,143763,7008,21367,5254,0.530709128,0.730055976,0.428478222,0.197362984,0.270258,1,EEC_,143763 & 7008,21367 & 5254,0.428 & Precision \cr,0.197 & Recall \cr,0.27 & F1 \cr,0.73 & AUC \cr
EEC_Medium_Tomek_0_v2_Linear_Transform,144685,6086,22254,4367,0.52510065,0.691684783,0.417774797,0.164043424,0.235594789,1,EEC_,144685 & 6086,22254 & 4367,0.418 & Precision \cr,0.164 & Recall \cr,0.236 & F1 \cr,0.692 & AUC \cr
EEC_Medium_Tomek_0_v1_Linear_Transform,144881,5890,22496,4125,0.526969209,0.688566896,0.411882173,0.154952857,0.225200393,1,EEC_,144881 & 5890,22496 & 4125,0.412 & Precision \cr,0.155 & Recall \cr,0.225 & F1 \cr,0.689 & AUC \cr
EEC_Easy_Tomek_0_v1_Linear_Transform,150210,561,26301,320,0.531877206,0.657186687,0.363223568,0.012020585,0.023289794,1,EEC_,150210 & 561,26301 & 320,0.363 & Precision \cr,0.012 & Recall \cr,0.023 & F1 \cr,0.657 & AUC \cr
EEC_Easy_Tomek_0_v2_Linear_Transform,150450,321,26416,205,0.532335092,0.654924067,0.389733766,0.007700687,0.015122197,1,EEC_,150450 & 321,26416 & 205,0.39 & Precision \cr,0.008 & Recall \cr,0.015 & F1 \cr,0.655 & AUC \cr
Ideal_Left_Linear_Transform,118207,32564,5984,20637,0.5,0.839832287,0.387906242,0.775215056,0.517086601,1,Idea,118207 & 32564,5984 & 20637,0.388 & Precision \cr,0.775 & Recall \cr,0.517 & F1 \cr,0.84 & AUC \cr
Ideal_Right_Linear_Transform,118207,32564,5984,20637,0.5,0.839832287,0.387906242,0.775215056,0.517086601,1,Idea,118207 & 32564,5984 & 20637,0.388 & Precision \cr,0.775 & Recall \cr,0.517 & F1 \cr,0.84 & AUC \cr
KBFC_Medium_Tomek_0_alpha_target_gamma_5_0_v1_Linear_Transform,0,0,3,144964,0.538240811,0.709643962,0.999999999,0.999979306,0.999999652,1,KBFC,0 & 0,3 & 144964,1 & Precision \cr,1 & Recall \cr,1 & F1 \cr,0.71 & AUC \cr
KBFC_Hard_Tomek_1_alpha_0_5_gamma_0_0_v1_Linear_Transform,141436,9335,17916,8705,0.544399473,0.775843262,0.4825388,0.326997483,0.389835943,1,KBFC,141436 & 9335,17916 & 8705,0.483 & Precision \cr,0.327 & Recall \cr,0.39 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Linear_Transform,141736,9035,18113,8508,0.52711802,0.775278088,0.484979761,0.31959731,0.385301609,1,KBFC,141736 & 9035,18113 & 8508,0.485 & Precision \cr,0.32 & Recall \cr,0.385 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_1_alpha_target_gamma_0_0_v1_Linear_Transform,141822,8949,18199,8422,0.714736633,0.775798824,0.484831037,0.316366778,0.382898239,1,KBFC,141822 & 8949,18199 & 8422,0.485 & Precision \cr,0.316 & Recall \cr,0.383 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_5_v2_Linear_Transform,141375,9396,18097,8524,0.664262637,0.775536575,0.47566964,0.32019834,0.38275886,1,KBFC,141375 & 9396,18097 & 8524,0.476 & Precision \cr,0.32 & Recall \cr,0.383 & F1 \cr,0.776 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_0_0_v2_Linear_Transform,141542,9229,18137,8484,0.732673287,0.77501022,0.478970245,0.318695767,0.38274149,1,KBFC,141542 & 9229,18137 & 8484,0.479 & Precision \cr,0.319 & Recall \cr,0.383 & F1 \cr,0.775 & AUC \cr
KBFC_Hard_Tomek_0_alpha_target_gamma_1_0_v2_Linear_Transform,141659,9112,18194,8427,0.63283914,0.774781085,0.480472088,0.3165546,0.381668031,1,KBFC,141659 & 9112,18194 & 8427,0.48 & Precision \cr,0.317 & Recall \cr,0.382 & F1 \cr,0.775 & AUC \cr
