Name,TN,FP,FN,TP,center,AUC,Run,Precision = TP/PP,Recall = TP/P,F1
EEC_Hard_Tomek_1_Linear_Transform,143268,7503,21105,5516,0.529229323,0.73167582,2,0.423688455,0.207204838,0.278304743
EEC_Hard_Tomek_1_Linear_Transform,143268,7503,21105,5516,0.529229323,0.73167582,3,0.423688455,0.207204838,0.278304743
EEC_Hard_Tomek_2_Linear_Transform,143455,7316,21152,5469,0.529908672,0.731168614,2,0.427766914,0.205439315,0.277571943
EEC_Hard_Tomek_2_Linear_Transform,143455,7316,21152,5469,0.529908672,0.731168614,3,0.427766914,0.205439315,0.277571943
EEC_Hard_Tomek_0_Linear_Transform,143297,7474,21135,5486,0.527237814,0.730628062,2,0.423302469,0.206077908,0.277203709
EEC_Hard_Tomek_0_Linear_Transform,143297,7474,21135,5486,0.527237814,0.730628062,3,0.423302469,0.206077908,0.277203709
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,144572,6199,21811,4810,0.570422817,0.709624922,1,0.436915251,0.180684422,0.25564709
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,144569,6202,21916,4705,0.559693876,0.708643202,2,0.431374347,0.176740168,0.25074611
KBFC_Medium_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,144569,6202,21916,4705,0.559693876,0.708643202,3,0.431374347,0.176740168,0.25074611
AdaBoost_Medium_Tomek_0_Linear_Transform,144794,5977,22204,4417,0.498296003,0.702766197,2,0.424956706,0.165921641,0.238660003
AdaBoost_Medium_Tomek_0_Linear_Transform,144794,5977,22204,4417,0.498296003,0.702766197,3,0.424956706,0.165921641,0.238660003
AdaBoost_Medium_Tomek_0_Linear_Transform,145016,5755,22299,4322,0.49838001,0.703096445,1,0.428897489,0.16235303,0.235544171
RUSB_Medium_Tomek_0_Linear_Transform,145068,5703,22333,4288,0.500446696,0.703166505,1,0.429186268,0.161075842,0.23424014
EEC_Medium_Tomek_0_Linear_Transform,144673,6098,22335,4286,0.526153497,0.689823458,1,0.412750385,0.161000714,0.231644372
RUSB_Medium_Tomek_0_Linear_Transform,145203,5568,22426,4195,0.500445443,0.702690535,2,0.429683499,0.15758236,0.230595866
RUSB_Medium_Tomek_0_Linear_Transform,145203,5568,22426,4195,0.500445443,0.702690535,3,0.429683499,0.15758236,0.230595866
EEC_Medium_Tomek_0_Linear_Transform,144978,5793,22538,4083,0.526766526,0.690118288,2,0.413426488,0.153375155,0.223744417
EEC_Medium_Tomek_0_Linear_Transform,144978,5793,22538,4083,0.526766526,0.690118288,3,0.413426488,0.153375155,0.223744417
Bagging_Medium_Tomek_0_Linear_Transform,146074,4697,23147,3474,0.81,0.691350787,2,0.425162159,0.130498479,0.199701081
Bagging_Medium_Tomek_0_Linear_Transform,146074,4697,23147,3474,0.81,0.691350787,3,0.425162159,0.130498479,0.199701081
Bagging_Medium_Tomek_0_Linear_Transform,146102,4669,23199,3422,0.81,0.69224182,1,0.422939068,0.128545134,0.197165245
BRFC_Easy_Tomek_0_Linear_Transform,148814,1957,25277,1344,0.914833846,0.660020453,1,0.407149349,0.050486458,0.089833567
BRFC_Easy_Tomek_0_Linear_Transform,148789,1982,25306,1315,0.914850927,0.659142672,2,0.398847437,0.049397093,0.087906946
BRFC_Easy_Tomek_0_Linear_Transform,148789,1982,25306,1315,0.914850927,0.659142672,3,0.398847437,0.049397093,0.087906946
Bagging_Easy_Tomek_0_Linear_Transform,148734,2037,25330,1291,0.88,0.654231978,1,0.387920673,0.048495549,0.086213229
Bagging_Easy_Tomek_0_Linear_Transform,149026,1745,25437,1184,0.89,0.653709764,2,0.404233527,0.044476165,0.080135364
Bagging_Easy_Tomek_0_Linear_Transform,149026,1745,25437,1184,0.89,0.653709764,3,0.404233527,0.044476165,0.080135364
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,149844,927,26067,554,0.570140324,0.660622734,2,0.374071573,0.020810638,0.039427799
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,149844,927,26067,554,0.570140324,0.660622734,3,0.374071573,0.020810638,0.039427799
EEC_Easy_Tomek_0_Linear_Transform,150194,577,26305,316,0.531300609,0.654311785,2,0.353863382,0.011870328,0.022970124
EEC_Easy_Tomek_0_Linear_Transform,150194,577,26305,316,0.531300609,0.654311785,3,0.353863382,0.011870328,0.022970124
RUSB_Easy_Tomek_0_Linear_Transform,150355,416,26393,228,0.500496031,0.65713447,2,0.354037267,0.008564667,0.016724739
RUSB_Easy_Tomek_0_Linear_Transform,150355,416,26393,228,0.500496031,0.65713447,3,0.354037267,0.008564667,0.016724739
KBFC_Easy_Tomek_0_alpha_target_gamma_2_0_Linear_Transform,150452,319,26401,220,0.58537838,0.658687731,1,0.408163265,0.008264152,0.016200295
EEC_Easy_Tomek_0_Linear_Transform,150453,318,26427,194,0.533595483,0.655296899,1,0.37890625,0.00728748,0.01429993
AdaBoost_Easy_Tomek_0_Linear_Transform,150423,348,26429,192,0.498982474,0.657256649,2,0.355555556,0.007212351,0.014137918
AdaBoost_Easy_Tomek_0_Linear_Transform,150423,348,26429,192,0.498982474,0.657256649,3,0.355555556,0.007212351,0.014137918
RUSB_Easy_Tomek_0_Linear_Transform,150410,361,26429,192,0.50050176,0.657550323,1,0.347197107,0.007212351,0.014131155
AdaBoost_Easy_Tomek_0_Linear_Transform,150448,323,26435,186,0.498996149,0.657524134,1,0.365422397,0.006986965,0.013711758
