p,Filename,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}
0.9,EEC_Hard_Tomek_0_v1_Train_Transformed_100,106,209,0.6634920634920635,420353,217,78580,346,0.6145648312611013,0.004383853229607481,0.0011271361532424683
0.93,EEC_Hard_Tomek_0_v1_Train_Transformed_98,51,100,0.6622516556291391,419154,1416,77047,1879,0.570257966616085,0.02380711045789727,0.006596649422617999
1.0,EEC_Hard_Tomek_0_v1_Train_Transformed_95,1467,1979,0.5742890307603018,420570,0,78926,0,,0.0,0.0
0.58,EEC_Hard_Tomek_0_v1_Test,132,219,0.6239316239316239,180232,13,33800,25,0.6578947368421053,0.0007390983000739098,0.00017751202877563414
0.9,EEC_Hard_Tomek_0_v1_Test_Transformed_100,46,100,0.684931506849315,180146,99,33681,144,0.5925925925925926,0.004257206208425721,0.0011351427103283972
0.93,EEC_Hard_Tomek_0_v1_Test_Transformed_98,22,55,0.7142857142857143,179604,641,33015,810,0.5582356995175741,0.02394678492239468,0.006778156677722241
1.0,EEC_Hard_Tomek_0_v1_Test_Transformed_95,663,865,0.5660994764397905,180245,0,33825,0,,0.0,0.0
0.94,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Train,585,1193,0.670978627671541,418884,1686,73775,5151,0.7534006143045195,0.06526366469857842,0.013687797299678076
0.95,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Train_Transformed_100,575,1212,0.6782316731952994,419105,1465,74257,4669,0.7611672644277796,0.05915667840762233,0.012280378621650623
0.96,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Train_Transformed_98,548,1068,0.6608910891089109,418638,1932,73273,5653,0.745286750164799,0.07162405291032106,0.015185306789243557
0.97,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Train_Transformed_95,532,1043,0.6622222222222223,418643,1927,73293,5633,0.7451058201058202,0.0713706509895345,0.015135256338389096
0.95,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Test,262,534,0.6708542713567839,179714,531,32216,1609,0.7518691588785047,0.04756836659275684,0.009996730041575187
0.96,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Test_Transformed_100,255,531,0.6755725190839694,179809,436,32404,1421,0.7652127086698977,0.04201034737620103,0.008674732564114543
0.98,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Test_Transformed_98,233,495,0.679945054945055,179856,389,32513,1312,0.7713109935332157,0.03878787878787879,0.00794599897229878
0.99,KBFC_Hard_Tomek_0_alpha_balanced_gamma_0_0_v1_Test_Transformed_95,232,495,0.6808803301237965,179837,408,32475,1350,0.7679180887372014,0.03991130820399113,0.008212267015462233
0.7,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Train,194,409,0.6782752902155887,418559,2011,72579,6347,0.7593921990906916,0.08041709956161468,0.016732866729663502
0.74,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Train_Transformed_100,196,389,0.6649572649572649,418863,1707,73197,5729,0.7704410973641743,0.07258698020930998,0.014887006102150968
0.82,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Train_Transformed_98,173,354,0.6717267552182163,418647,1923,72772,6154,0.7619165531756841,0.07797177102602437,0.016170299662059354
0.86,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Train_Transformed_95,167,332,0.6653306613226453,418598,1972,72664,6262,0.7605052222492106,0.0793401413982718,0.016484616493425374
0.69,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Test,90,182,0.6691176470588235,179137,1108,31133,2692,0.708421052631579,0.07958610495195861,0.017751202877563415
0.72,KBFC_Hard_Tomek_0_alpha_0_5_gamma_0_0_v1_Test_Transformed_100,92,180,0.6617647058823529,179124,1121,31105,2720,0.7081489195521999,0.08041389504804139,0.017942729013873965
