Filename,n,nUnique,nUnique/n,95%,95%/n
LRC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed,499496,386564,0.7739,361589,0.7239
LRC_Medium_Tomek_0_alpha_0_5_v1_Test,214070,189007,0.8829,178303,0.8329
LRC_Medium_Tomek_0_alpha_0_5_v1_Test_Transformed,214070,187452,0.8757,176748,0.8257
LRC_Medium_Tomek_0_alpha_balanced_v1_Train,499496,389834,0.7805,364859,0.7305
LRC_Medium_Tomek_0_alpha_balanced_v1_Train_Transformed,499496,384199,0.7692,359224,0.7192
LRC_Medium_Tomek_0_alpha_balanced_v1_Test,214070,189007,0.8829,178303,0.8329
LRC_Medium_Tomek_0_alpha_balanced_v1_Test_Transformed,214070,186234,0.8700,175530,0.8200
BRFC_Medium_Tomek_0_alpha_0_5_v1_Train,499496,23082,0.0462,9251,0.0185
BRFC_Medium_Tomek_0_alpha_0_5_v1_Train_Transformed,499496,22789,0.0456,9046,0.0181
BRFC_Medium_Tomek_0_alpha_0_5_v1_Test,214070,16906,0.0790,7848,0.0367
BRFC_Medium_Tomek_0_alpha_0_5_v1_Test_Transformed,214070,16229,0.0758,7327,0.0342
BRFC_Medium_Tomek_0_alpha_balanced_v1_Train,499496,63866,0.1279,38891,0.0779
BRFC_Medium_Tomek_0_alpha_balanced_v1_Train_Transformed,499496,63571,0.1273,38596,0.0773
BRFC_Medium_Tomek_0_alpha_balanced_v1_Test,214070,41364,0.1932,30660,0.1432
BRFC_Medium_Tomek_0_alpha_balanced_v1_Test_Transformed,214070,40567,0.1895,29863,0.1395
AdaBoost_Medium_Tomek_0_v1_Train,499496,385988,0.7728,361013,0.7228
AdaBoost_Medium_Tomek_0_v1_Train_Transformed,499496,378639,0.7580,353664,0.7080
AdaBoost_Medium_Tomek_0_v1_Test,214070,187788,0.8772,177084,0.8272
AdaBoost_Medium_Tomek_0_v1_Test_Transformed,214070,184203,0.8605,173499,0.8105
Bagging_Medium_Tomek_0_v1_Train,499496,1337,0.0027,68,0.0001
Bagging_Medium_Tomek_0_v1_Train_Transformed,499496,1323,0.0026,68,0.0001
Bagging_Medium_Tomek_0_v1_Test,214070,1130,0.0053,56,0.0003
Bagging_Medium_Tomek_0_v1_Test_Transformed,214070,1120,0.0052,56,0.0003
RUSBoost_Medium_Tomek_0_v1_Train,499496,389834,0.7805,364859,0.7305
RUSBoost_Medium_Tomek_0_v1_Train_Transformed,499496,378960,0.7587,353985,0.7087
RUSBoost_Medium_Tomek_0_v1_Test,214070,189007,0.8829,178303,0.8329
RUSBoost_Medium_Tomek_0_v1_Test_Transformed,214070,183906,0.8591,173202,0.8091
EEC_Medium_Tomek_0_v1_Train,499496,648,0.0013,211,0.0004
EEC_Medium_Tomek_0_v1_Train_Transformed,499496,603,0.0012,203,0.0004
EEC_Medium_Tomek_0_v1_Test,214070,623,0.0029,211,0.0010
EEC_Medium_Tomek_0_v1_Test_Transformed,214070,583,0.0027,202,0.0009
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v1_Train,499496,384413,0.7696,359438,0.7196
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v1_Train_Transformed,499496,378133,0.7570,353158,0.7070
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v1_Test,214070,187645,0.8766,176941,0.8266
KBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_v1_Test_Transformed,214070,184627,0.8625,173923,0.8125
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v1_Train,499496,385070,0.7709,360095,0.7209
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v1_Train_Transformed,499496,382201,0.7652,357226,0.7152
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v1_Test,214070,187890,0.8777,177186,0.8277
KBFC_Medium_Tomek_0_alpha_0_5_gamma_0_0_v1_Test_Transformed,214070,186366,0.8706,175662,0.8206
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1,214070,187095,0.8740,176391,0.8240
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_1_0_v1_Transformed,214070,183160,0.8556,172456,0.8056
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1,214070,186909,0.8731,176205,0.8231
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_1_0_gamma_1_0_5_v1_Transformed,214070,183356,0.8565,172652,0.8065
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1,214070,186905,0.8731,176201,0.8231
OBFC_Medium_Tomek_0_alpha_balanced_gamma_0_0_5_gamma_1_2_0_v1_Transformed,214070,182727,0.8536,172023,0.8036
LRC_Easy_Tomek_0_alpha_0_5_v1_Train,499496,40928,0.0819,25496,0.0510
LRC_Easy_Tomek_0_alpha_0_5_v1_Train_Transformed,499496,40077,0.0802,24846,0.0497
LRC_Easy_Tomek_0_alpha_0_5_v1_Test,214070,33306,0.1556,22868,0.1068
LRC_Easy_Tomek_0_alpha_0_5_v1_Test_Transformed,214070,32641,0.1525,22332,0.1043
LRC_Easy_Tomek_0_alpha_balanced_v1_Train,499496,40928,0.0819,25496,0.0510
LRC_Easy_Tomek_0_alpha_balanced_v1_Train_Transformed,499496,40066,0.0802,24826,0.0497
LRC_Easy_Tomek_0_alpha_balanced_v1_Test,214070,33306,0.1556,22868,0.1068
LRC_Easy_Tomek_0_alpha_balanced_v1_Test_Transformed,214070,32612,0.1523,22300,0.1042
BRFC_Easy_Tomek_0_alpha_0_5_v1_Train,499496,39344,0.0788,24599,0.0492
BRFC_Easy_Tomek_0_alpha_0_5_v1_Train_Transformed,499496,39122,0.0783,24385,0.0488
BRFC_Easy_Tomek_0_alpha_0_5_v1_Test,214070,32531,0.1520,22404,0.1047
BRFC_Easy_Tomek_0_alpha_0_5_v1_Test_Transformed,214070,31960,0.1493,21915,0.1024
BRFC_Easy_Tomek_0_alpha_balanced_v1_Train,499496,40593,0.0813,25212,0.0505
