p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}
0.38,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_98,9767,2234,0.18615115407049412,457039,143776,40598,72153,0.3341515035034664,0.6399322400688242,1.2751638566398524,0.30260550530714747
0.39,KBFC_5_Fold_alpha_0_5_gamma_1_0_Hard_Test_Transformed_95,8978,2045,0.18552118298103965,455678,145137,40278,72473,0.3330407609944396,0.6427703523693803,1.287234703018155,0.304961278984705
0.36,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test,20270,4401,0.17838758056017187,454673,146142,39900,72851,0.33266360111967047,0.6461228725244123,1.296148149462089,0.30689943186754975
0.4,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_100,18200,3953,0.17844084322665102,453786,147029,39711,73040,0.33189590537513236,0.6477991326019281,1.304015041995193,0.3084073512471166
0.47,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_98,10866,2451,0.18405046181572426,459395,141420,41003,71748,0.33657959918937175,0.6363402541884329,1.254268254827008,0.29873620660177197
0.47,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_95,9827,2158,0.1800584063412599,455950,144865,40193,72558,0.3337181438946202,0.6435242259492155,1.2848223075626823,0.3046992149289624
0.2,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test,12006,2517,0.17331129931832265,452467,148348,39425,73326,0.3307830417640319,0.6503356954705501,1.3157133861340475,0.3106566176079017
0.21,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_100,11109,2551,0.18674963396778915,460793,140022,41397,71354,0.3375690712285217,0.6328458284183732,1.2418692517139538,0.29622487618524423
0.26,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_98,8903,1901,0.17595335061088485,452302,148513,39392,73359,0.3306365832552102,0.650628375801545,1.317176787789022,0.310934097196335
0.28,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_1_0_Hard_Test_Transformed_95,7996,1842,0.18723317747509657,457070,143745,40539,72212,0.3343813814787203,0.6404555170242393,1.274888914510736,0.3026447448449057
0.21,OBFC_5_Fold_alpha_0_5_gamma_0_0_5_gamma_1_2_0_Hard_Test,12236,2748,0.18339562199679657,456455,144360,40252,72499,0.3343140012634938,0.6430009489938004,1.2803434115883674,0.30390881852554635
